"periodo_codigo";"periodo";"sexo";"variavel";"taxa_desocupacao"
"201503";"3º trimestre 2015";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,7"
"201503";"3º trimestre 2015";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,0"
"201504";"4º trimestre 2015";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,7"
"201504";"4º trimestre 2015";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,8"
"201504";"4º trimestre 2015";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,1"
"201601";"1º trimestre 2016";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,5"
"201601";"1º trimestre 2016";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,1"
"201601";"1º trimestre 2016";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,0"
"201602";"2º trimestre 2016";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,8"
"201602";"2º trimestre 2016";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,5"
"201602";"2º trimestre 2016";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,4"
"201603";"3º trimestre 2016";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,4"
"201603";"3º trimestre 2016";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,8"
"201603";"3º trimestre 2016";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201604";"4º trimestre 2016";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,6"
"201604";"4º trimestre 2016";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,1"
"201604";"4º trimestre 2016";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"201701";"1º trimestre 2017";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"201701";"1º trimestre 2017";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"16,2"
"201701";"1º trimestre 2017";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,9"
"201702";"2º trimestre 2017";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,4"
"201702";"2º trimestre 2017";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"15,2"
"201702";"2º trimestre 2017";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,1"
"201703";"3º trimestre 2017";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,9"
"201703";"3º trimestre 2017";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,5"
"201703";"3º trimestre 2017";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,5"
"201704";"4º trimestre 2017";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,4"
"201704";"4º trimestre 2017";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,8"
"201704";"4º trimestre 2017";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201801";"1º trimestre 2018";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,6"
"201801";"1º trimestre 2018";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"15,4"
"201801";"1º trimestre 2018";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,2"
"201802";"2º trimestre 2018";"Homens";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,0"
"201802";"2º trimestre 2018";"Mulheres";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,6"
"201802";"2º trimestre 2018";"Total";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,6"
