group_id,rota,taxa_diaria_media,taxa_diaria_mediana,taxa_diaria_q05,taxa_diaria_q95,rr_anual_media,rr_anual_mediana,rr_anual_q05,rr_anual_q95,prob_rr_anual_maior_1
1,Afghanistan to Iran,0.45833614613157136,0.4525382544511244,0.35546865332785454,0.5879107496378654,1.6421932854104042,1.6406459367255977,1.5118362623088941,1.7795827073676074,1.0
2,Bay of Bengal/Andaman Sea,0.28163963297531225,0.27694452953256243,0.21762472568861338,0.3597594534433526,1.322059603314825,1.321578711480747,1.240977422093767,1.4047744403492015,1.0
3,Belarus-EU border,0.009049942016069904,0.008707038566629067,0.005474914312052878,0.013773430739593778,1.7239321996648131,1.7117740205823027,1.4919109033885865,1.9922978046131445,1.0
4,Caribbean to Central America,0.0007870397024091626,0.0006802810261843146,0.00019075909931825247,0.001794867446040657,1.589391579426837,1.5633285095963467,1.2639595495259048,2.021217299009057,0.99975
5,Caribbean to US,0.10738420561190555,0.10593272141626019,0.08287183772443384,0.13767511350070977,1.2833615838400467,1.281401334302627,1.1909165669030723,1.3824329800991781,1.0
6,Central Mediterranean,4.5332347542000315,4.451146331326811,3.5662277027115685,5.781235105471876,0.9086123089526669,0.9080166318805234,0.8550820795330528,0.964529071670628,0.00375
7,DRC to Uganda,0.0014340305090596779,0.0013511166317726796,0.0005930566018984058,0.0025843132773091587,0.8959393180035075,0.893441332737323,0.7325947885499607,1.0736009913964455,0.1515
8,Darien,0.07574801371230976,0.07470759311030191,0.057433566133838994,0.09891927553242276,1.2776050076487118,1.2751923376240417,1.1732135041105047,1.3900045690089298,1.0
9,Dominican Republic to Puerto Rico,0.0745783609122244,0.07359644581581201,0.05722459214343786,0.09591729235186244,1.322210588901189,1.3196861596653116,1.1942759948499595,1.455619490256755,1.0
10,Eastern Mediterranean,0.5406451078442397,0.5321385193669075,0.41487302075297067,0.6908111336384806,0.9705450396491446,0.9695791408969991,0.9126660152528034,1.0318818929306588,0.1975
11,Eastern Route to/from EHOA,0.827084623992913,0.8187513859692155,0.6461257949543554,1.0476989532320076,1.1610602342934935,1.1606341682968193,1.0892437557984722,1.2353736454856399,0.9995
12,Haiti to Dominican Republic,0.012088805370416102,0.011776808693098204,0.008471538676323734,0.016681819943266125,0.9286723301059692,0.9273843781129703,0.8474494329282666,1.0148435388505384,0.0885
13,Horn of Africa Route,0.011628391832041198,0.011355484340015227,0.007796222254004107,0.016321435962028823,0.7450678747782875,0.744568163097701,0.6481561966757566,0.8431727681386234,0.0
14,Iran to Türkiye,0.04917545044277761,0.048273204317805664,0.03658758801037548,0.06397646683419686,1.2827429075873515,1.280200917618959,1.1721001639949278,1.3978008211427793,1.0
15,Italy to France,0.008158557476030505,0.007940001622452598,0.0054367110508608376,0.011565744101986714,0.9485057684415575,0.9472372029563159,0.8459409446530316,1.0568031126138733,0.20625
16,Mainland Europe to the UK,0.06332708784239226,0.062210860099641,0.048621726071317234,0.08168018852270781,1.0468040812035062,1.0454420890877596,0.9772794192953331,1.1220073705540126,0.85775
17,Naf River crossing,0.11020827180499848,0.10842014977048473,0.08432231478146802,0.14119040078729778,1.1369650825066249,1.13492534148094,1.0578438853704732,1.2222937485916197,0.998
18,Northern Route from EHOA,0.011796903435358237,0.011498477427919308,0.007834849791135646,0.016623880054780722,0.7359516920789091,0.7351168158204164,0.6566890152386406,0.8187124192248003,0.0
19,Route to Southern Africa,0.09604563860418502,0.09446285623380857,0.07366917808594622,0.12280484919703412,0.8647229243390728,0.8634853395333411,0.7886389672061903,0.9429726216177489,0.0035
20,Sahara Desert crossing,1.4496565111252866,1.4267473190623254,1.125928365362571,1.854660510421286,0.9173989767003139,0.9162233886235576,0.8536229460445022,0.9856145123842349,0.024
21,Sea crossings to Mayotte,0.05613834632399386,0.05524985860866902,0.042739865800633874,0.07278681988012044,1.056783387346217,1.0555971131146906,0.9809211417888681,1.1369025194747129,0.8875
22,Syria to Türkiye,0.031038763127752236,0.030498922160715577,0.022321527787404632,0.04196301580566618,0.6803626030123141,0.6790427198199226,0.6115306732603117,0.7506374973224421,0.0
23,Türkiye-Europe land route,0.05646067898040876,0.055467050242466225,0.04282342385169961,0.07358560898480271,1.1902443216562006,1.186385024123347,1.0639271079720787,1.3251489512609655,0.996
24,US-Mexico border crossing,1.32841985502635,1.3105994182822727,1.038559721474192,1.6846625896765368,0.991444941688457,0.9905793595138016,0.9211476678709561,1.0660658755838348,0.41475
25,Ukraine to Europe,0.004022511520417076,0.003854024124563205,0.0022252887345041196,0.006403449212069488,1.4233877188702542,1.4130885509883577,1.2242402265701358,1.6601197645135664,1.0
26,Unknown/Not reported,1.6531596332235936,1.629811560252855,1.290094349717245,2.104882742803417,1.014600425067007,1.0129881831542202,0.9429401586173788,1.0898069194827287,0.6215
27,Venezuela to Caribbean,0.034144737341483225,0.03362817791645863,0.02538634207155825,0.044873422611864625,1.082373511201992,1.078697671992321,0.9515724197915207,1.2228351724801865,0.83775
28,Western Africa / Atlantic route to the Canary Islands,0.7899103683055707,0.7772513449400087,0.6102613972638095,1.0117058448320886,1.357395560274834,1.3559793740929638,1.2569271839779717,1.4609753715176665,1.0
29,Western Balkans,0.0881444786161585,0.08653141645572353,0.06661616332869581,0.11517549438899334,1.0479994097881258,1.0469326791361242,0.9625569861544635,1.1363940058005892,0.81525
30,Western Mediterranean,0.9277582684364624,0.912836905673867,0.7280636317813537,1.1698045803305785,1.1493687298478,1.1480184638156987,1.0578824121145245,1.2451530462882323,0.997
