rota,taxa_diaria_mediana,taxa_diaria_q05,taxa_diaria_q95,rr_anual_mediana,rr_anual_q05,rr_anual_q95,prob_rr_anual_maior_1
Central Mediterranean,4.451146331326811,3.5662277027115685,5.781235105471876,0.9080166318805234,0.8550820795330528,0.964529071670628,0.00375
Unknown/Not reported,1.629811560252855,1.290094349717245,2.104882742803417,1.0129881831542202,0.9429401586173788,1.089806919482729,0.6215
Sahara Desert crossing,1.4267473190623254,1.125928365362571,1.854660510421286,0.9162233886235576,0.8536229460445022,0.9856145123842348,0.024
US-Mexico border crossing,1.3105994182822729,1.038559721474192,1.6846625896765368,0.9905793595138016,0.921147667870956,1.0660658755838348,0.41475
Western Mediterranean,0.912836905673867,0.7280636317813537,1.1698045803305783,1.1480184638156987,1.0578824121145245,1.2451530462882323,0.997
Eastern Route to/from EHOA,0.8187513859692155,0.6461257949543554,1.0476989532320076,1.160634168296819,1.0892437557984722,1.23537364548564,0.9995
Western Africa / Atlantic route to the Canary Islands,0.7772513449400087,0.6102613972638095,1.0117058448320886,1.3559793740929638,1.2569271839779717,1.4609753715176663,1.0
Eastern Mediterranean,0.5321385193669075,0.4148730207529706,0.6908111336384806,0.9695791408969991,0.9126660152528034,1.0318818929306588,0.1975
