mes,multiplicador_media,multiplicador_mediana,multiplicador_q05,multiplicador_q95,prob_maior_1
1,0.9649516306355528,0.9632489206596706,0.8355930892644005,1.1007866582242194,0.3135
2,1.0345295793996006,1.0273184472769978,0.9047150938060393,1.1873431443600486,0.6395
3,0.9972108576981376,0.994163946111483,0.8663766727506204,1.1406793906792183,0.46575
4,0.8947442456129947,0.8941332059207918,0.7663632340645374,1.0232662225954583,0.09325
5,0.9968484597960439,0.993167260834606,0.8691254692189017,1.1356957588474659,0.46525
6,0.8299039860118981,0.82636076858542,0.6979656591949324,0.976392198903647,0.023
7,0.9302915191302944,0.9301948199983626,0.7959486778946188,1.0644929497125666,0.18825
8,0.9752361122992793,0.970990437851784,0.843945865548905,1.1200976561944418,0.358
9,1.1497688847001273,1.1424294362493175,0.9957132409347996,1.3288429517384897,0.9405
10,1.1554487555022106,1.1452175798325186,0.998143989399528,1.3518923846322293,0.944
11,0.9751681282474701,0.9731390604027285,0.8499414876096623,1.1105278796544962,0.358
12,1.209454049751243,1.202164113977907,1.0296932903837832,1.4130712191086392,0.97925
