variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
alpha,-2.48331882955,-2.4831921,0.3730287236527732,0.3645732673800001,-3.096490975,-1.8641699950000001,1.0049249489723002,382.24041744475875,788.2336946013463
beta_time,0.09221787480148,0.091407904,0.04644344075497236,0.0449674188621,0.01633474555,0.17200910149999996,1.0144047341500841,522.2107854391634,864.6902449672983
sigma_group_intercept,2.03993065715,2.0289767,0.23306258933288904,0.2428409844,1.67673192,2.4421346599999993,1.0014515313211267,648.5597235999683,880.2736526322544
sigma_group_slope,0.2403756632825,0.237391425,0.034979331835493635,0.035289408587999976,0.188249786,0.3031801564999999,1.0052620510944879,783.1441592017613,1592.2751313416877
sigma_month,0.1545559749215725,0.147478215,0.0606255679297633,0.052457916588,0.06833841685,0.2615929879999999,1.0026938109038799,1081.6677509628444,1033.0132075089432
phi,0.30569303274,0.30561765,0.00978053455185434,0.009908838492000034,0.289900279,0.32205405550000005,1.0013413145849213,5896.830519378909,2916.624510122254
group_intercept[1],1.691341899125,1.68559445,0.4044647000163259,0.3961655460000001,1.0440151050000002,2.359432645,1.004634596408822,435.2932161073219,1021.997821968983
group_intercept[2],1.204130091921,1.1983880999999998,0.4017821317852764,0.394991074758,0.5534165765000001,1.8663721099999995,1.0046877592963084,438.71663570287296,1149.5023140660064
group_intercept[3],-2.2615271507,-2.2653993000000003,0.4597059143816391,0.46255652226000055,-2.9935919350000004,-1.5145409350000003,1.002518016126837,591.7812952569341,1422.773840211355
group_intercept[4],-4.8715042579,-4.846182499999999,0.7499869249459404,0.7466626383299998,-6.17543727,-3.71294539,1.0010372388410291,1185.7308596039675,1812.5301917531685
group_intercept[5],0.2395258967308275,0.230300695,0.4003857393503347,0.39422506722899997,-0.42017900999999996,0.8981914859999993,1.0036036530696768,450.60606805416904,1059.5442614905567
group_intercept[6],3.984020565925,3.97626045,0.40169280464837415,0.38727802616999984,3.3255049550000004,4.644552384999999,1.003827479751578,423.3379289739762,931.5537738755708
group_intercept[7],-4.1606928535,-4.1529354000000005,0.5677346619263873,0.5555815920900009,-5.11056371,-3.23838753,1.0024663692997706,783.4984614864496,1687.3816890320186
group_intercept[8],-0.110251497909144,-0.11480580500000001,0.4060956219928058,0.39372648367499996,-0.7627370800000001,0.5814503014999999,1.004248378013654,436.1762448190626,956.6770688719123
group_intercept[9],-0.12544189503859499,-0.133993805,0.3971187108703734,0.39255256840799996,-0.772177965,0.5332804294999995,1.0045298967984206,428.6663949638871,1059.417348324499
group_intercept[10],1.856566626985,1.8518767999999999,0.3996029216931842,0.3873309549899998,1.20204007,2.51284835,1.004369767477976,434.3051177812747,1054.1926436183473
group_intercept[11],2.2827315368025,2.2757046,0.3998618681298672,0.39842917968000013,1.6208335150000002,2.942156785,1.004807856747257,437.0631037813099,1087.2675518862052
group_intercept[12],-1.954011676645,-1.95611105,0.4223775108311663,0.4201062001500001,-2.6395073049999995,-1.263232755,1.004065183092981,502.6268445602236,1158.3965299231074
group_intercept[13],-1.99631086721,-2.00451135,0.4355706881964891,0.43888977845999994,-2.6889273300000003,-1.273317475,1.0035827666478818,501.539363032832,1211.804739234273
group_intercept[14],-0.5437402064226375,-0.555907775,0.4102128534242991,0.4023186028679999,-1.20626382,0.13242279099999987,1.0042457025139437,450.0460686466616,1064.7004135825355
group_intercept[15],-2.35111708354,-2.3499296999999997,0.42911100831755317,0.4294410945299996,-3.05007838,-1.6508305350000003,1.0037654936046316,518.5409638398693,1213.793742262795
group_intercept[16],-0.28870249538628,-0.288171945,0.40051001318577356,0.3916513766696999,-0.944170738,0.35238549449999984,1.0041858309862344,460.0079230673087,1058.5440312310454
group_intercept[17],0.26570611539488,0.25839058,0.4024068604388208,0.39139723753200006,-0.38332862,0.9399981204999999,1.0040450226314774,431.16612474121,1010.5339773726052
group_intercept[18],-1.982960521895,-1.9901403000000002,0.4271153397886371,0.4279897032599999,-2.66623718,-1.27857443,1.0031573580305078,526.464584231775,1313.0793964555169
group_intercept[19],0.1279038920700825,0.125829425,0.4027940357321392,0.378553762839,-0.538105388,0.8049491084999995,1.004881661265028,455.2901754401672,1057.5312177847693
group_intercept[20],2.8429164333,2.8413015,0.4027048184607551,0.3961539075900002,2.182880945,3.5085550899999998,1.0040653553455172,408.4088380452613,832.2374087534394
group_intercept[21],-0.409939778307135,-0.403981505,0.40774737363372354,0.40635240905699993,-1.0731519200000001,0.25049913649999955,1.0047720220647824,426.6421924247577,1001.9909867239871
group_intercept[22],-1.007258181101825,-1.00724455,0.4172307669454284,0.4089630600929999,-1.703141305,-0.31429346800000013,1.0038854153069448,460.56115641295463,1096.8189161607377
group_intercept[23],-0.40421745078967253,-0.41146518,0.4028331257687259,0.387152279451,-1.0697655549999998,0.2848158099999999,1.0042759192953543,452.53456289422644,958.7372394998058
group_intercept[24],2.7567023665,2.7512174,0.4009011981914671,0.39473757980999985,2.09708613,3.425936959999999,1.0037341857272992,430.5729194621379,1013.4747716562129
group_intercept[25],-3.083138642235,-3.0790145,0.4869798136815431,0.4696714455300002,-3.887477325,-2.2849209,1.0021481625926363,597.3904117854113,1444.1359595803742
group_intercept[26],2.974851174225,2.9720330500000003,0.3994769389125238,0.39667029717000013,2.3276543650000003,3.6331458899999998,1.0044954376583117,437.4976706588809,981.9618489144895
group_intercept[27],-0.908309372337875,-0.91224109,0.4109908827164702,0.4066293068459999,-1.5867570850000001,-0.2399902295000001,1.0039858255259677,447.04781008008393,1032.3845167947793
group_intercept[28],2.23558985691,2.23428505,0.3997550936851483,0.38763362778000005,1.5907929,2.8972031749999996,1.003543455754303,436.14896933589057,983.7644367724039
group_intercept[29],0.04104121258114275,0.0413944595,0.404713273372193,0.39905595624299994,-0.6264754635,0.7005420084999998,1.003400940216217,446.48305789702374,978.4698051521299
group_intercept[30],2.3975792626775,2.3971969,0.4010363856091596,0.39303570327000004,1.74118503,3.0678922849999997,1.0041418050277202,439.6702471692282,1017.5779726441378
