variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-10044.6422925,-10044.069,8.584708073989612,8.566462799999018,-10059.67805,-10031.4329,1.0024885762221503,688.2440875395636,1652.0015654832011
alpha,-2.48331882955,-2.4831921,0.3730287236527732,0.3645732673800001,-3.096490975,-1.8641699950000001,1.0049249489723002,382.24041744475875,788.2336946013463
beta_time,0.09221787480148,0.091407904,0.04644344075497236,0.0449674188621,0.01633474555,0.17200910149999996,1.0144047341500841,522.2107854391634,864.6902449672983
z_group_intercept[1],0.8411767658055,0.8358147549999999,0.22550467036550667,0.22158497043899977,0.48453594650000004,1.225193795,1.003204801673414,425.29003235877445,784.5079439784748
z_group_intercept[2],0.599380798032225,0.5947619550000001,0.21243677448949685,0.21218784392399986,0.256438962,0.9594845355,1.0037197474936086,417.2682781382408,871.3290415329402
z_group_intercept[3],-1.120973603725,-1.1149377500000002,0.25016624467733145,0.2459430283799997,-1.5275945850000001,-0.7277457105,1.0022553268347851,671.4053835066832,1366.5478628846124
z_group_intercept[4],-2.4123861743,-2.3878953,0.42426745004797206,0.42351128757,-3.13769552,-1.7558258500000008,1.0009247319141625,1059.3709775230982,1950.8394701094876
z_group_intercept[5],0.12021858024971124,0.114115315,0.19819202352158485,0.1973473641111,-0.20088896699999997,0.4536552804999999,1.0033700750086794,437.49208450703884,994.7118522240255
z_group_intercept[6],1.9795362588625,1.9671725,0.3069252609442915,0.3021276379799999,1.50075214,2.521899735,1.0013236062845845,464.7145437875424,755.0744068684833
z_group_intercept[7],-2.062210005425,-2.04752355,0.34178058920921317,0.33594322355999995,-2.6492412300000003,-1.520215705,1.0021571763701558,875.0382006847257,1916.5173175184036
z_group_intercept[8],-0.05354119784652425,-0.056180191500000004,0.19970684383560675,0.19586628674129997,-0.36876933749999996,0.282488355,1.0040144875188093,435.7420334085183,878.4887027432468
z_group_intercept[9],-0.0613329956082555,-0.06705201999999999,0.19497838873318563,0.19434068318699999,-0.3803725455,0.26517898749999996,1.0043577032408517,424.1489236993018,942.8687012683806
z_group_intercept[10],0.9231694576925,0.919207605,0.2278705104577366,0.22735723632299998,0.5563084485,1.3038178,1.0029667153648718,425.11716378382823,725.5645549026453
z_group_intercept[11],1.13466080789,1.12722655,0.24031526185361984,0.2412534163199999,0.7522674555,1.5412239249999997,1.0027936570040887,432.6221909532243,799.9266686863203
z_group_intercept[12],-0.969155586675,-0.97228758,0.22911424736906455,0.23198831533500006,-1.35685313,-0.5930417820000001,1.0031439111209302,591.3638951500351,1243.6335444836814
z_group_intercept[13],-0.98978466071,-0.9916801799999999,0.23444087233224617,0.23659615459200006,-1.3734275699999998,-0.6052867760000002,1.0029651443927015,581.9863133135744,1192.3483219720565
z_group_intercept[14],-0.2689410880851725,-0.27284489,0.20222204368113172,0.200970047544,-0.589865419,0.06470213964999982,1.0040495248298997,462.3556436975872,1065.7436639426821
z_group_intercept[15],-1.165947100485,-1.1632273,0.24067763425121955,0.24016555856999997,-1.5585878850000001,-0.7740190835,1.0027434469866932,640.2152634331807,1262.4845847040147
z_group_intercept[16],-0.142136696969813,-0.14453098,0.1959117242664462,0.1921467606177,-0.4622683245,0.17758172249999993,1.0040754600160116,463.24069902081095,1034.288117849469
z_group_intercept[17],0.13342266130718375,0.12634693,0.1995113972502243,0.19515095751963002,-0.18624433999999998,0.4713103994999997,1.003746653135402,419.6136120182368,931.0712350584057
z_group_intercept[18],-0.982961266075,-0.981833645,0.23030929471212122,0.22924413392999995,-1.3629414899999999,-0.6036635710000005,1.002684638210037,614.9356364005677,1297.8713826404162
z_group_intercept[19],0.0647544219682325,0.062220198500000004,0.19819266763225635,0.18903429173579997,-0.257783574,0.3980460899999999,1.0045086190086445,445.7421654880429,922.3723924787761
z_group_intercept[20],1.41311212664,1.40347935,0.26310497740454997,0.25253622471000003,0.9964192075,1.862258735,1.0019415191955612,434.09577594937156,735.5953569760749
z_group_intercept[21],-0.2023111913741055,-0.20166417,0.1997549635040956,0.20122204506599997,-0.5290913049999999,0.12304787849999999,1.0045469712073631,431.0784150330401,1038.4493880431583
z_group_intercept[22],-0.4990674333319,-0.49879481000000003,0.20931896101310574,0.20568845910899997,-0.845138478,-0.15072297750000008,1.00369952708367,502.99228742030067,1105.6230134703535
z_group_intercept[23],-0.1992669343532675,-0.2015958,0.19721390396440636,0.19293137477669994,-0.528846885,0.13678733249999991,1.004148918502602,457.76431594171953,957.3480767894214
z_group_intercept[24],1.3700486492475,1.36584085,0.25686336842977436,0.25419569889,0.9636426355,1.7974302399999997,1.0018979534750438,435.3869684323433,749.7784836108741
z_group_intercept[25],-1.5291169915,-1.5244219,0.285898329500808,0.28567315014000016,-2.012517065,-1.0819063600000003,1.0013743373570423,720.3743852965324,1370.5660592910915
z_group_intercept[26],1.4784891937475,1.4727125,0.26577289017067723,0.26365535405999996,1.064873445,1.9374924949999996,1.0021148157850772,448.88028805463216,707.2542126727013
z_group_intercept[27],-0.44975122804574,-0.45040486,0.20553405318136467,0.20319805434599997,-0.794430947,-0.11785235450000003,1.0036622874041792,481.1117131772064,1063.9477071444585
z_group_intercept[28],1.11128217383,1.1058675500000001,0.2390854022535983,0.23319059274,0.73021378,1.5171012599999993,1.0021029868967213,436.47360370008573,731.4953910372265
z_group_intercept[29],0.021403609891105,0.0211905575,0.19874309998005368,0.199518315276,-0.3053655255,0.34460521649999987,1.0032378766237227,438.7778173514973,956.0394483067072
z_group_intercept[30],1.19184540266,1.1863506,0.24523758052920958,0.2428108134899998,0.7996333099999999,1.6208352049999997,1.0023740412804778,435.39761880191315,705.6034241884331
z_group_slope[1],1.7082864536275,1.69944885,0.3619240237864282,0.36734424678,1.13739112,2.3102641950000002,1.0038632016913152,887.16440568016435,1852.932375317152
z_group_slope[2],0.791686713859625,0.7936363200000001,0.2702350435337521,0.265970033658,0.3569242575,1.2449229899999998,1.0075878063525436,736.2094422954174,1519.1910672128163
z_group_slope[3],1.8948399156675,1.88746575,0.4555294294600571,0.45657489842999993,1.1913304750000002,2.6799696149999996,1.0009672910076721,1297.5068529136543,2299.7540098249124
z_group_slope[4],1.51155988401075,1.49492865,0.584617762946101,0.58270294215,0.5880301099999999,2.50986437,1.002364913327675,2562.926203494938,2540.215568930097
z_group_slope[5],0.6641385170374925,0.65790343,0.2837640097236109,0.284187651657,0.21095752250000002,1.1262905349999999,1.006599326479222,894.2316510265478,1874.947350909804
z_group_slope[6],-0.799715127531275,-0.79263178,0.26394561389641297,0.260764914165,-1.246960495,-0.36821261750000017,1.0094616127611464,725.0138077489124,1544.4784646923486
z_group_slope[7],-0.8765299515936,-0.86495238,0.5060488357312884,0.481716191712,-1.74499921,-0.07246327155000008,1.0025265192816484,3283.4057372545444,2573.5016836251916
z_group_slope[8],0.6435496509353,0.6347823800000001,0.2979837025236221,0.295238121801,0.15916503550000002,1.14138191,1.003589588162828,1023.3155955222543,1809.910597116904
z_group_slope[9],0.786272077145135,0.779703225,0.323852018503576,0.32938764820499994,0.2665689585,1.3205929249999997,1.0028916305003865,1171.4246683785132,2281.468856181335
z_group_slope[10],-0.5202258140818,-0.5209824750000001,0.2519584375055516,0.257782634613,-0.9349666385,-0.11451094450000007,1.0098420050353503,720.6782226271457,1895.591010835093
z_group_slope[11],0.2402680416405871,0.23447327,0.25289310493103645,0.2548727533842,-0.1715085295,0.6614447915,1.008890813931295,811.8096615933005,1534.9535973279937
z_group_slope[12],-0.7095673120942625,-0.69858222,0.3063067550290897,0.306423530784,-1.23694464,-0.22090167900000005,1.0066947961204267,1079.0253729457122,2042.3510245593013
z_group_slope[13],-1.6463763508525,-1.6175343,0.4159104171774637,0.41269646187000003,-2.3660874599999997,-1.0086074600000006,1.0045443035646717,1393.8939750215038,2258.352883661447
z_group_slope[14],0.660531284137155,0.649799335,0.3036432051956311,0.309812776623,0.185628668,1.1574460349999995,1.0051913723656423,987.2931271951265,1774.0499651524751
z_group_slope[15],-0.6233138322514225,-0.61474111,0.3526805710310274,0.341199611361,-1.22642252,-0.06062249140000052,1.0039584987887968,1397.3864626365541,2148.060472851664
z_group_slope[16],-0.1999058400877135,-0.19758367500000001,0.25851562110641735,0.2569596959853,-0.630686298,0.2345866125,1.0076578482451262,922.0539155701427,1770.003544357631
z_group_slope[17],0.1507278661460785,0.15098403,0.2682957557651592,0.27239865916409994,-0.287626361,0.5958814704999997,1.006460840553263,906.996844805374,1998.0687636798698
z_group_slope[18],-1.6975721893875,-1.67246255,0.3939438350420334,0.39218543217000007,-2.36634183,-1.091474515,1.0069459841867652,1176.4582851029272,1813.659125638746
z_group_slope[19],-1.01147389622225,-1.00180005,0.31596889623830354,0.3202286939669999,-1.54410593,-0.5194201690000003,1.0068642080533745,1115.5816438330544,2181.3149071039115
z_group_slope[20],-0.75944590718795,-0.756347975,0.28001442088336115,0.27898982655600013,-1.2273521299999999,-0.31392162050000005,1.0083546126289324,782.0033753406385,1878.9824187205425
z_group_slope[21],-0.159354698599105,-0.15356111,0.26314495234804824,0.2637492389637,-0.590883872,0.27117303849999996,1.0071676351162127,948.7962289144209,1953.945564477147
z_group_slope[22],-2.0284911777575,-2.01390745,0.3975567549156911,0.3984357772499999,-2.7125549500000004,-1.4028877000000002,1.0080967444539084,937.7686850481421,1968.9536308785555
z_group_slope[23],0.3388873078768675,0.335072715,0.3387048747166928,0.33295230044999996,-0.1994553745,0.9069910005,1.0020826666373397,1472.6899184129777,1826.577459126745
z_group_slope[24],-0.42978532287659,-0.42242820000000003,0.26712643920618145,0.271592475399,-0.872180789,0.003152004169999961,1.0095330996556524,914.2741206653365,1722.3192558416501
z_group_slope[25],1.0811699239997825,1.06268825,0.4372658430554543,0.447426856128,0.40212858349999997,1.832332195,1.0020584708360871,1651.8810954135772,2397.0464950697174
z_group_slope[26],-0.33240857406818247,-0.331611415,0.2630768142755511,0.26736460428299996,-0.772075309,0.09495794379999999,1.0089036228626254,837.9019899066693,1814.7283356010423
z_group_slope[27],-0.066985161655981,-0.07702802249999999,0.3705931878149794,0.35844907302749995,-0.6755571625,0.5567124545,1.0038159485299376,1625.4833922686048,2658.661179371756
z_group_slope[28],0.90244215592225,0.89697574,0.29803412557478426,0.294819835863,0.4294174925,1.3940848949999998,1.0057714118438155,869.6120384712599,1784.892041132678
z_group_slope[29],-0.19618553950839074,-0.193182565,0.2816474647463674,0.28349821426521,-0.66964425,0.25451649949999994,1.0066858670927803,1071.7186799658543,2139.0330471365914
z_group_slope[30],0.195169893735685,0.19373856,0.27913149503797235,0.27831209896139997,-0.261337064,0.6594518819999998,1.0059527782308335,1063.7091738549275,1944.0766350496276
month_raw[1],-0.2503667600362275,-0.258010065,0.6692394752011002,0.637212480618,-1.3627158499999998,0.8377975259999997,1.000815881245919,4040.96127603885,2330.762253792426
month_raw[2],0.197392003861175,0.1943285,0.6496832371992493,0.602695239762,-0.866292265,1.2601233099999989,1.0007656970160932,4113.599448390788,2827.876858432882
month_raw[3],-0.030444807382696,-0.046278146500000006,0.6650341803625296,0.6562254712629,-1.083588305,1.0577428949999994,1.0014679332163738,3846.259085105488,2878.9686694661386
month_raw[4],-0.752861513273465,-0.756876935,0.6700603981968228,0.6231269800139999,-1.85781602,0.3636378164999996,1.0008618699301037,3257.9205372403103,2489.7963926159464
month_raw[5],-0.0322915292645605,-0.04453969,0.6644876340503717,0.632378063016,-1.104050465,1.0861797549999987,1.0007187275700329,3623.8733055451194,2904.3060742546368
month_raw[6],-1.255965442524865,-1.25217235,0.6948510415923129,0.6748378589399999,-2.387120955,-0.12953339150000015,1.0002180735201405,3380.254665647317,2134.3324518568315
month_raw[7],-0.4955629650656975,-0.485220545,0.6824146830824169,0.6380060563527,-1.62789158,0.6023915065,0.9998548902444699,4050.5887607940754,2571.0264828156937
month_raw[8],-0.183627433727195,-0.194474535,0.682855161389739,0.6539060154690001,-1.26730381,0.9633711949999997,1.0004443592294863,4295.615259182898,2660.5300148593087
month_raw[9],0.9048692693241025,0.90205566,0.67271516675331,0.631285008753,-0.168968311,2.0058104899999996,1.0011267731967748,3456.265207790777,2460.5794144327638
month_raw[10],0.93019192322582,0.9277785199999999,0.6699961418762906,0.6690279201899999,-0.12087769249999997,2.023586305,1.002990734928421,3338.848812627978,2543.026538542219
month_raw[11],-0.18736751795245,-0.17843451999999999,0.6549354389484009,0.6301725472559999,-1.2712110349999999,0.8780383245,1.0032167996184274,2837.1191085666815,2619.129785826885
month_raw[12],1.24010851492347,1.2464778500000002,0.6832003850576907,0.668541894258,0.16245648350000003,2.3570292299999993,1.0007075474756346,3114.70346655577,2418.042133486421
sigma_group_intercept,2.03993065715,2.0289767,0.23306258933288904,0.2428409844,1.67673192,2.4421346599999993,1.0014515313211267,648.5597235999683,880.2736526322544
sigma_group_slope,0.2403756632825,0.237391425,0.034979331835493635,0.035289408587999976,0.188249786,0.3031801564999999,1.0052620510944879,783.1441592017613,1592.2751313416877
