ym,crime,sexo,faixa,occ_1_vitima
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","0-12",132
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","40-59",3741
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","0-12",229
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","40-59",2495
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","60+",934
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","40-59",440
2023-01,"VULNERAVEIS_E_CUIDADO","FEMININO","0-12",102
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","13-17",169
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","25-39",4687
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","18-24",90
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","60+",1473
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","18-24",528
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","40-59",1494
2023-01,"FRAUDES_E_FE_PUBLICA","MASCULINO","40-59",1497
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","FEMININO","40-59",7
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","13-17",31
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","40-59",2392
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","13-17",155
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","0-12",41
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","25-39",2015
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","25-39",2245
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","25-39",1304
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","18-24",172
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","18-24",403
2023-01,"ARMAS_E_MUNICOES","FEMININO","25-39",24
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","40-59",579
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","13-17",50
2023-01,"LETAIS_E_VIOLENTOS","MASCULINO","18-24",26
2023-01,"ARMAS_E_MUNICOES","FEMININO","40-59",20
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","40-59",492
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","40-59",1625
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","18-24",1666
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","25-39",116
2023-01,"ARMAS_E_MUNICOES","MASCULINO","25-39",26
2023-01,"TRANSITO","FEMININO","60+",102
2023-01,"TRANSITO","FEMININO","18-24",142
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","60+",1105
2023-01,"TRANSITO","MASCULINO","40-59",571
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","25-39",520
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","18-24",641
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","13-17",293
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","18-24",427
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","60+",920
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","25-39",667
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","60+",883
2023-01,"TRANSITO","FEMININO","25-39",309
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","18-24",299
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","40-59",372
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","13-17",42
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","18-24",516
2023-01,"TRANSITO","MASCULINO","60+",199
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","18-24",109
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","40-59",7
2023-01,"TRANSITO","MASCULINO","18-24",367
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","25-39",114
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","25-39",350
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","60+",239
2023-01,"TRANSITO","FEMININO","40-59",242
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","25-39",73
2023-01,"TRANSITO","MASCULINO","25-39",663
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","25-39",490
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","FEMININO","40-59",2
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","40-59",72
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","13-17",75
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","18-24",6
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","IGNORADO","40-59",28
2023-01,"LETAIS_E_VIOLENTOS","FEMININO","0-12",3
2023-01,"TRANSITO","MASCULINO","13-17",31
2023-01,"VULNERAVEIS_E_CUIDADO","FEMININO","60+",159
2023-01,"FRAUDES_E_FE_PUBLICA","MASCULINO","60+",724
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","25-39",1644
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","60+",12
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","60+",13
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","60+",266
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","13-17",6
2023-01,"FRAUDES_E_FE_PUBLICA","MASCULINO","25-39",1580
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","60+",180
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","25-39",10
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","60+",124
2023-01,"VULNERAVEIS_E_CUIDADO","FEMININO","13-17",73
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","40-59",10
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","60+",101
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","0-12",57
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","18-24",17
2023-01,"LETAIS_E_VIOLENTOS","MASCULINO","40-59",42
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","25-39",11
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","40-59",7
2023-01,"ARMAS_E_MUNICOES","MASCULINO","60+",6
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","0-12",14
2023-01,"LETAIS_E_VIOLENTOS","FEMININO","13-17",1
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","13-17",29
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","18-24",21
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","25-39",51
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","18-24",6
2023-01,"LETAIS_E_VIOLENTOS","FEMININO","18-24",3
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","0-12",58
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","18-24",24
2023-01,"ARMAS_E_MUNICOES","MASCULINO","40-59",27
2023-01,"FRAUDES_E_FE_PUBLICA","MASCULINO","18-24",470
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","60+",13
2023-01,"ORDEM_PUBLICA_E_OUTROS","FEMININO","0-12",21
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","40-59",26
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","40-59",54
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","0-12",2
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","18-24",7
2023-01,"LETAIS_E_VIOLENTOS","FEMININO","60+",5
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","13-17",13
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","40-59",40
2023-01,"LETAIS_E_VIOLENTOS","MASCULINO","25-39",64
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","25-39",52
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","FEMININO","60+",2
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","IGNORADO","25-39",1
2023-01,"VULNERAVEIS_E_CUIDADO","MASCULINO","13-17",33
2023-01,"VULNERAVEIS_E_CUIDADO","FEMININO","40-59",14
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","25-39",7
2023-01,"ARMAS_E_MUNICOES","FEMININO","13-17",2
2023-01,"VULNERAVEIS_E_CUIDADO","FEMININO","18-24",10
2023-01,"FRAUDES_E_FE_PUBLICA","IGNORADO","18-24",4
2023-01,"TRANSITO","MASCULINO","0-12",18
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","18-24",18
2023-01,"LETAIS_E_VIOLENTOS","FEMININO","25-39",6
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","60+",13
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","13-17",18
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","60+",7
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","13-17",10
2023-01,"TRANSITO","FEMININO","13-17",21
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","60+",10
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","40-59",13
2023-01,"TRANSITO","FEMININO","0-12",7
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","0-12",3
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","40-59",1
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","40-59",49
2023-01,"FRAUDES_E_FE_PUBLICA","MASCULINO","13-17",19
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","0-12",4
2023-01,"ARMAS_E_MUNICOES","FEMININO","60+",6
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","IGNORADO","25-39",3
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","IGNORADO","18-24",5
2023-01,"ORDEM_PUBLICA_E_OUTROS","IGNORADO","40-59",1
2023-01,"VULNERAVEIS_E_CUIDADO","IGNORADO","18-24",1
2023-01,"FRAUDES_E_FE_PUBLICA","IGNORADO","25-39",2
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","0-12",6
2023-01,"FRAUDES_E_FE_PUBLICA","IGNORADO","40-59",5
2023-01,"ARMAS_E_MUNICOES","MASCULINO","18-24",7
2023-01,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","IGNORADO",1
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","18-24",2
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","IGNORADO",13
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","IGNORADO","60+",1
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","IGNORADO","25-39",3
2023-01,"TRANSITO","FEMININO","IGNORADO",1
2023-01,"LETAIS_E_VIOLENTOS","FEMININO","40-59",5
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","13-17",3
2023-01,"VULNERAVEIS_E_CUIDADO","FEMININO","25-39",14
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","IGNORADO","40-59",1
2023-01,"ARMAS_E_MUNICOES","FEMININO","18-24",5
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","0-12",5
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","60+",2
2023-01,"PATRIMONIAIS_COM_VIOLENCIA","IGNORADO","18-24",2
2023-01,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","25-39",4
2023-01,"LETAIS_E_VIOLENTOS","MASCULINO","60+",3
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","0-12",3
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","25-39",4
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","IGNORADO",1
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","18-24",1
2023-01,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","IGNORADO",1
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","60+",1
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","13-17",2
2023-01,"LETAIS_E_VIOLENTOS","MASCULINO","13-17",3
2023-01,"LETAIS_E_VIOLENTOS","MASCULINO","0-12",3
2023-01,"DROGAS_E_ORGANIZACAO_CRIMINOSA","FEMININO","25-39",4
2023-01,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","IGNORADO",3
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","IGNORADO",2
2023-01,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","13-17",4
2023-01,"ORDEM_PUBLICA_E_OUTROS","IGNORADO","25-39",1
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","IGNORADO",1
2023-01,"FRAUDES_E_FE_PUBLICA","FEMININO","0-12",1
2023-01,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","IGNORADO",2
2023-01,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","FEMININO","25-39",1
2023-01,"TRANSITO","IGNORADO","25-39",1
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","0-12",165
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","40-59",2198
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","40-59",3361
2023-02,"FRAUDES_E_FE_PUBLICA","FEMININO","60+",778
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","25-39",4075
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","60+",978
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","25-39",1710
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","60+",814
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","25-39",1921
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","13-17",151
2023-02,"ORDEM_PUBLICA_E_OUTROS","FEMININO","60+",206
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","18-24",92
2023-02,"ORDEM_PUBLICA_E_OUTROS","FEMININO","18-24",299
2023-02,"FRAUDES_E_FE_PUBLICA","FEMININO","40-59",1410
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","60+",1357
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","18-24",598
2023-02,"ARMAS_E_MUNICOES","MASCULINO","40-59",24
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","18-24",394
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","40-59",2056
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","40-59",484
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","25-39",1121
2023-02,"FRAUDES_E_FE_PUBLICA","FEMININO","18-24",617
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","18-24",1482
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","18-24",245
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","25-39",594
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","40-59",1357
2023-02,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","60+",209
2023-02,"VULNERAVEIS_E_CUIDADO","MASCULINO","0-12",90
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","25-39",39
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","18-24",9
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","25-39",413
2023-02,"FRAUDES_E_FE_PUBLICA","MASCULINO","40-59",1302
2023-02,"TRANSITO","MASCULINO","25-39",620
2023-02,"ORDEM_PUBLICA_E_OUTROS","FEMININO","40-59",454
2023-02,"FRAUDES_E_FE_PUBLICA","FEMININO","25-39",1621
2023-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","40-59",9
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","18-24",392
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","18-24",551
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","60+",835
2023-02,"TRANSITO","MASCULINO","60+",168
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","40-59",4
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","60+",158
2023-02,"FRAUDES_E_FE_PUBLICA","MASCULINO","25-39",1338
2023-02,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","25-39",390
2023-02,"ORDEM_PUBLICA_E_OUTROS","FEMININO","13-17",38
2023-02,"LETAIS_E_VIOLENTOS","MASCULINO","40-59",27
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","40-59",322
2023-02,"VULNERAVEIS_E_CUIDADO","FEMININO","60+",139
2023-02,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","40-59",376
2023-02,"TRANSITO","MASCULINO","40-59",496
2023-02,"TRANSITO","MASCULINO","18-24",379
2023-02,"TRANSITO","FEMININO","18-24",142
2023-02,"TRANSITO","FEMININO","25-39",320
2023-02,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","0-12",16
2023-02,"VULNERAVEIS_E_CUIDADO","MASCULINO","40-59",18
2023-02,"VULNERAVEIS_E_CUIDADO","FEMININO","13-17",69
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","13-17",236
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","40-59",39
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","0-12",34
2023-02,"VULNERAVEIS_E_CUIDADO","FEMININO","0-12",117
2023-02,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","18-24",95
2023-02,"VULNERAVEIS_E_CUIDADO","MASCULINO","60+",83
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","40-59",44
2023-02,"ORDEM_PUBLICA_E_OUTROS","FEMININO","25-39",581
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","13-17",18
2023-02,"LETAIS_E_VIOLENTOS","MASCULINO","18-24",33
2023-02,"FRAUDES_E_FE_PUBLICA","MASCULINO","60+",641
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","13-17",141
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","25-39",9
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","18-24",13
2023-02,"FRAUDES_E_FE_PUBLICA","MASCULINO","18-24",403
2023-02,"TRANSITO","FEMININO","60+",83
2023-02,"TRANSITO","FEMININO","40-59",231
2023-02,"ARMAS_E_MUNICOES","FEMININO","18-24",8
2023-02,"VULNERAVEIS_E_CUIDADO","FEMININO","40-59",18
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","0-12",65
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","40-59",17
2023-02,"VULNERAVEIS_E_CUIDADO","MASCULINO","25-39",11
2023-02,"ORDEM_PUBLICA_E_OUTROS","FEMININO","0-12",24
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","40-59",65
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","25-39",97
2023-02,"FRAUDES_E_FE_PUBLICA","FEMININO","13-17",32
2023-02,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","13-17",16
2023-02,"LETAIS_E_VIOLENTOS","MASCULINO","60+",8
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","FEMININO","0-12",48
2023-02,"FRAUDES_E_FE_PUBLICA","IGNORADO","40-59",7
2023-02,"TRANSITO","FEMININO","13-17",17
2023-02,"TRANSITO","MASCULINO","0-12",28
2023-02,"FRAUDES_E_FE_PUBLICA","MASCULINO","13-17",11
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","25-39",6
2023-02,"TRANSITO","FEMININO","0-12",15
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","25-39",64
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","IGNORADO",14
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","18-24",11
2023-02,"LETAIS_E_VIOLENTOS","MASCULINO","25-39",63
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","13-17",69
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","0-12",3
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","MASCULINO","13-17",76
2023-02,"ARMAS_E_MUNICOES","MASCULINO","60+",10
2023-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","FEMININO","40-59",4
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","25-39",8
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","25-39",119
2023-02,"LETAIS_E_VIOLENTOS","FEMININO","25-39",11
2023-02,"LETAIS_E_VIOLENTOS","FEMININO","60+",1
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","60+",99
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","IGNORADO","40-59",23
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","13-17",36
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","25-39",34
2023-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","60+",7
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","13-17",42
2023-02,"FRAUDES_E_FE_PUBLICA","MASCULINO","IGNORADO",2
2023-02,"VULNERAVEIS_E_CUIDADO","FEMININO","18-24",6
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","60+",15
2023-02,"LETAIS_E_VIOLENTOS","MASCULINO","0-12",2
2023-02,"VULNERAVEIS_E_CUIDADO","MASCULINO","13-17",26
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","18-24",5
2023-02,"FRAUDES_E_FE_PUBLICA","IGNORADO","25-39",6
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","MASCULINO","IGNORADO",1
2023-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","FEMININO","60+",4
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","FEMININO","60+",10
2023-02,"ARMAS_E_MUNICOES","MASCULINO","25-39",21
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","60+",5
2023-02,"ARMAS_E_MUNICOES","FEMININO","60+",5
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","40-59",1
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","18-24",14
2023-02,"ARMAS_E_MUNICOES","FEMININO","25-39",11
2023-02,"TRANSITO","MASCULINO","13-17",36
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","FEMININO","18-24",2
2023-02,"VULNERAVEIS_E_CUIDADO","MASCULINO","18-24",4
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","60+",11
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","40-59",38
2023-02,"VIOLENCIA_INTERPESSOAL_DOMESTICA","IGNORADO","18-24",1
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","18-24",1
2023-02,"ARMAS_E_MUNICOES","MASCULINO","18-24",7
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","FEMININO","0-12",7
2023-02,"PATRIMONIAIS_COM_VIOLENCIA","FEMININO","0-12",2
2023-02,"ORDEM_PUBLICA_E_OUTROS","IGNORADO","18-24",1
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","IGNORADO","18-24",3
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","13-17",5
2023-02,"FRAUDES_E_FE_PUBLICA","MASCULINO","0-12",1
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","FEMININO","40-59",2
2023-02,"VULNERAVEIS_E_CUIDADO","FEMININO","25-39",12
2023-02,"FRAUDES_E_FE_PUBLICA","IGNORADO","60+",2
2023-02,"FRAUDES_E_FE_PUBLICA","IGNORADO","18-24",9
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","IGNORADO",1
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","MASCULINO","60+",4
2023-02,"LETAIS_E_VIOLENTOS","FEMININO","40-59",3
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","0-12",4
2023-02,"CRIMES_SEXUAIS_E_EXPLORACAO","MASCULINO","60+",1
2023-02,"PATRIMONIAIS_SEM_VIOLENCIA","MASCULINO","0-12",6
2023-02,"ORDEM_PUBLICA_E_OUTROS","MASCULINO","IGNORADO",1
2023-02,"ORDEM_PUBLICA_E_OUTROS","IGNORADO","25-39",1
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","0-12",2
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","MASCULINO","0-12",1
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","FEMININO","25-39",4
2023-02,"LETAIS_E_VIOLENTOS","FEMININO","18-24",1
2023-02,"TRANSITO","MASCULINO","IGNORADO",1
2023-02,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL","MASCULINO","25-39",3
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","FEMININO","0-12",1
2023-02,"ARMAS_E_MUNICOES","MASCULINO","13-17",2
2023-02,"ADMINISTRACAO_PUBLICA_E_JUSTICA","FEMININO","13-17",2
2023-02,"ARMAS_E_MUNICOES","FEMININO","40-59",8
2023-02,"DROGAS_E_ORGANIZACAO_CRIMINOSA","FEMININO","0-12",1
2023-02,"FRAUDES_E_FE_PUBLICA","FEMININO","0-12",1
2023-02,"LETAIS_E_VIOLENTOS","IGNORADO","0-12",1
2023-02,"LETAIS_E_VIOLENTOS","MASCULINO","IGNORADO",2
2023-02,"DISCRIMINACAO_E_DIREITOS_HUMANOS","MASCULINO","13-17",5
2023-02,"FRAUDES_E_FE_PUBLICA","IGNORADO","IGNORADO",1
