effect,termo_canonico,median,q5,q95,rr_median,rr_q5,rr_q95,rhat,ess_bulk,classificacao
tipo_obra_romance_vs_conto,sherlock_holmes,-0.45334533,-0.7760766795,-0.1211978635,0.6354986389845527,0.4602080176194179,0.8858586631554669,1.000417691377999,2303.4804598123264,redução_compatível_no_intervalo_90
tipo_obra_romance_vs_conto,dr_watson,-0.531797215,-0.9523961655,-0.0885391480500003,0.5875480700202148,0.3858154373282991,0.9152672791054268,1.0027848971896065,2443.275838951519,redução_compatível_no_intervalo_90
tipo_obra_romance_vs_conto,professor_moriarty,0.0548843274999999,-1.04251395,1.123453299999999,1.0564184090492943,0.3525672305327131,3.0754563599909543,1.000857926947118,4678.844847743005,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,mycroft_holmes,-0.31601187,-1.495278305,0.8409503359999992,0.7290507962833113,0.2241862039062292,2.318569350039879,1.0003530820349935,5466.009934991458,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,inspector_lestrade,0.21058804,-0.901139214,1.30793041,1.234403725342346,0.4061067536168794,3.6985113838311823,0.9998612509494724,3391.190086124529,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,irene_adler,-0.385220825,-1.5332941300000005,0.7519267339999994,0.6803003922822654,0.2158235442351879,2.1210828445212973,0.9999174622593672,5121.448010096577,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,mrs_hudson,-0.1096436,-1.09925751,0.8449118424999992,0.8961534674839635,0.3331183289262105,2.327772594912004,1.0013326457231404,3516.1795631526625,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,baker_street,-0.264034835,-0.7078810905,0.1827363224999999,0.767946787764406,0.4926870514880557,1.2004978220798808,1.0003363196821755,3341.314727494235,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,london,-0.143686745,-0.6459116205,0.3757801849999999,0.8661590342143771,0.5241844669223045,1.456127020028566,1.000356448092283,2618.87300232039,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,deduction,-0.0642455654999999,-0.803555983,0.6568827715,0.9377746861436858,0.4477339954807913,1.9287705351340096,1.000028680237882,4059.121058888917,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,evidence,0.040148499,-0.6044032705000001,0.7045782669999998,1.0409653450280685,0.5464003826033781,2.0229933419424704,1.0008093478908169,2732.31576545916,incerto_no_intervalo_90
tipo_obra_romance_vs_conto,crime,0.098498839,-0.3971927474999999,0.6395286104999998,1.1035131232149116,0.6722044474183914,1.8955871088050604,1.000587125240392,2484.6264202677203,incerto_no_intervalo_90
ano_por_decada,sherlock_holmes,0.19780798,0.0762004852,0.3209245715,1.2187283511339386,1.0791789118702866,1.378401606206922,1.0007741910011856,2449.94510986762,aumento_compatível_no_intervalo_90
ano_por_decada,dr_watson,0.55406238,0.3860143995,0.7218717074999997,1.7403084715260666,1.4711058538509727,2.0582821095753463,1.0010196366268704,2690.087256059785,aumento_compatível_no_intervalo_90
ano_por_decada,professor_moriarty,0.27534829,-0.241285438,0.7840014304999998,1.3169892891971275,0.7856173493363118,2.190218762736342,1.000315478023369,4988.231138482702,incerto_no_intervalo_90
ano_por_decada,mycroft_holmes,0.0391811845,-0.5075033145000001,0.561667935,1.039958891013084,0.601996700551378,1.75359494477908,1.0023354547034704,5298.7187174472565,incerto_no_intervalo_90
ano_por_decada,inspector_lestrade,0.0537311694999999,-0.4526445404999999,0.591872918,1.0552008938381732,0.6359441458430491,1.807370303784075,1.0022281555173287,2941.248479372064,incerto_no_intervalo_90
ano_por_decada,irene_adler,-0.10533725,-0.632787804,0.4182350879999999,0.9000209393356264,0.5311091071438968,1.5192777964016473,1.0004533528665038,5186.257107095603,incerto_no_intervalo_90
ano_por_decada,mrs_hudson,0.25575936,-0.1986790124999999,0.7204558845,1.291441917961409,0.8198130008291615,2.055370008420474,0.9999973927562535,4001.298481966333,incerto_no_intervalo_90
ano_por_decada,baker_street,-0.331839875,-0.5577147225000001,-0.1163309740000001,0.7176022197106994,0.5725159277748302,0.8901805479185513,1.0009822497232048,4568.167356122729,redução_compatível_no_intervalo_90
ano_por_decada,london,0.308075725,0.09375893315,0.5116650859999999,1.3608040319209531,1.0982949514975493,1.6680663578017425,1.0015120650280744,3275.1915789502573,aumento_compatível_no_intervalo_90
ano_por_decada,deduction,-0.59340282,-0.988800312,-0.1824311220000002,0.5524442144551053,0.3720227346224246,0.8332420339966686,1.0000588053695971,4586.617920586823,redução_compatível_no_intervalo_90
ano_por_decada,evidence,0.28942227,0.004915791695,0.5533527484999998,1.335655616760877,1.004927894021707,1.7390739319008648,1.000998126382889,2855.2533089388203,aumento_compatível_no_intervalo_90
ano_por_decada,crime,0.15157448,-0.06929494785,0.3587074204999999,1.163664968349016,0.933051437973594,1.4314779192025882,0.9998332787629358,2872.707766146089,incerto_no_intervalo_90
