fator,papel,n_draws,T_obs_media,T_rep_media,T_obs_q05,T_obs_q95,T_rep_q05,T_rep_q95,ppc_pvalue_T_rep_ge_T_obs,razao_Tobs_Trep_media
periodo_analitico,principal,4000,255.63126237330115,295.71211805749533,235.31721736083958,276.6601292052265,257.19771158170784,337.3378459190735,0.93,0.8644598809562439
faixa_temporal,principal,4000,375.8824777405452,414.109912433019,350.1810783913936,398.483546488031,367.5482199461129,460.97835247035147,0.885,0.9076877091208074
decada_historica,principal,4000,201.45612566833194,236.33379841697467,182.70159705800918,222.57604263856035,201.5131308238679,272.71649149948445,0.9215,0.8524219854195105
dia_semana,principal,4000,349.6056610692638,413.11205733303433,331.5491191269841,369.84062648230037,367.4367592106711,462.15901160796267,0.98175,0.8462731960094445
ano,sensibilidade,4000,1737.0707717089938,1828.4018140180883,1690.207883960454,1768.0731627472887,1729.7305669239804,1927.4805755152026,0.9235,0.9500487028568486
periodo_5_anos,sensibilidade,4000,379.0672681909015,412.73623376819427,356.0897275599197,401.45789736866357,365.9519777400988,460.49180102143436,0.85075,0.9184249822946188
faixa_temporal_tercil_concursos,sensibilidade,4000,178.21922689783176,177.7177835292299,150.88129378769747,202.47702099436566,147.98260384999523,209.3573099225472,0.47775,1.0028215711373611
faixa_temporal_metade_concursos,sensibilidade,4000,118.92723701549536,118.09385851358878,95.89575101694729,142.37001814870172,94.6856322271832,145.28544942255965,0.48575,1.0070569165272103
