fator,papel,dirichlet_contraste_total_media,dirichlet_max_delta100_media,dirichlet_ppc_pvalue,stan_contraste_total_media,stan_max_delta100_media,razao_dirichlet_stan_max_delta,razao_dirichlet_stan_contraste
periodo_analitico,principal,0.0299500591708411,7.640647163980067,0.498,0.00044457180362210115,0.5443868780903676,14.035325742571864,67.36832819091585
faixa_temporal,principal,0.042652850767859,8.931777835610275,0.5096,0.0006465189481422588,0.6802008265704925,13.131089358775766,65.97308693027469
decada_historica,principal,0.0240313052010037,7.476584735152083,0.4888,0.0004080956454951978,0.5050029634554074,14.805031408122177,58.886453375025006
dia_semana,principal,0.0361244181176487,25.02941971764604,0.5252,0.00038644524707312516,0.5294964618045637,47.27023034742083,93.4787486487395
ano,sensibilidade,0.1706766407102627,20.8925654927878,0.508,0.0009978807845322302,0.97663084783285,21.392489843166977,171.03910943657425
periodo_5_anos,sensibilidade,0.0418233561916392,14.859968103087464,0.4984,0.0005468080611731629,0.6353370982951425,23.3891081489851,76.4863562945803
faixa_temporal_tercil_concursos,sensibilidade,0.0201761928630654,4.234024019962185,0.508,0.0011718763034850967,0.888654977105775,4.764530812342726,17.216998759222705
faixa_temporal_metade_concursos,sensibilidade,0.013676682267071,3.311812194510133,0.5032,0.0012844777563071265,0.9040190935278025,3.663431688800144,10.647659875708133
