cenario_prior,escala_sigma_rw2,quantidade,media_ponderada,q5,mediana,q95,ess_pesos,ess_pesos_pct,peso_maximo
estreito_0.075,0.075,sigma_rw2,0.06323878818395462,0.041051249494502104,0.06177079168677587,0.09071943868154664,3917.794513195633,97.94486282989082,0.00032158006230507735
estreito_0.075,0.075,sobrevivencia_global_60m,0.554921620831195,0.54845762290025,0.554890130316599,0.5616199198137725,3917.794513195633,97.94486282989082,0.00032158006230507735
estreito_0.075,0.075,HR_lanchonete_mes60,1.1787514905475445,1.087752981373551,1.177258672356835,1.2714921062533897,3917.794513195633,97.94486282989082,0.00032158006230507735
estreito_0.075,0.075,HR_bar_sem_entretenimento_mes60,1.246983376155737,1.0973580400712495,1.242476376750467,1.4075130170738892,3917.794513195633,97.94486282989082,0.00032158006230507735
estreito_0.075,0.075,HR_bar_com_entretenimento_mes60,0.9343536167463576,0.726708527992255,0.9235570458694282,1.169240616497171,3917.794513195633,97.94486282989082,0.00032158006230507735
estreito_0.075,0.075,HR_filial_mes60,1.927854267410868,1.6883988254449807,1.9224120615817677,2.1833417518486113,3917.794513195633,97.94486282989082,0.00032158006230507735
estreito_0.075,0.075,HR_sociedade_limitada,0.5480334721255127,0.5237752735364984,0.5477377486029212,0.5726856605681098,3917.794513195633,97.94486282989082,0.00032158006230507735
estreito_0.075,0.075,HR_outras_naturezas,0.36020573091901525,0.2720851387132005,0.35717862502103215,0.45773681882742145,3917.794513195633,97.94486282989082,0.00032158006230507735
moderado_0.10,0.1,sigma_rw2,0.06458715971858434,0.041575055592645856,0.06282274572931465,0.09338398661496397,3983.5256315987726,99.58814078996932,0.0002784453081063656
moderado_0.10,0.1,sobrevivencia_global_60m,0.5549193459329744,0.5484668036638221,0.5548876794068603,0.5616196660033405,3983.5256315987726,99.58814078996932,0.0002784453081063656
moderado_0.10,0.1,HR_lanchonete_mes60,1.178869109973812,1.0877691447573992,1.1772720631288829,1.2717061563092185,3983.5256315987726,99.58814078996932,0.0002784453081063656
moderado_0.10,0.1,HR_bar_sem_entretenimento_mes60,1.247142697880918,1.0972921912515232,1.2426409950172277,1.4080382508059461,3983.5256315987726,99.58814078996932,0.0002784453081063656
moderado_0.10,0.1,HR_bar_com_entretenimento_mes60,0.9344406623781618,0.7266557275800719,0.9241400730236735,1.1694637096380005,3983.5256315987726,99.58814078996932,0.0002784453081063656
moderado_0.10,0.1,HR_filial_mes60,1.927598300362892,1.6885973705687296,1.9221273971181787,2.1803818219075453,3983.5256315987726,99.58814078996932,0.0002784453081063656
moderado_0.10,0.1,HR_sociedade_limitada,0.5480264308544488,0.5237834339455288,0.547714893695307,0.5726523812583937,3983.5256315987726,99.58814078996932,0.0002784453081063656
moderado_0.10,0.1,HR_outras_naturezas,0.36024742864004977,0.2721732208928548,0.3572034703746163,0.4575922394250182,3983.5256315987726,99.58814078996932,0.0002784453081063656
principal_0.15,0.15,sigma_rw2,0.065652664281,0.04192014799999956,0.06383526299999982,0.09628331399999968,3999.999999999999,99.99999999999997,0.00025
principal_0.15,0.15,sobrevivencia_global_60m,0.5549179820890984,0.5484685332023828,0.5548919277685569,0.5616193848714954,3999.999999999999,99.99999999999997,0.00025
principal_0.15,0.15,HR_lanchonete_mes60,1.178961535722824,1.0877757469809104,1.1772994313703355,1.2717957910925752,3999.999999999999,99.99999999999997,0.00025
principal_0.15,0.15,HR_bar_sem_entretenimento_mes60,1.2472852707664475,1.0972357660634433,1.242740154265664,1.4080686030427065,3999.999999999999,99.99999999999997,0.00025
principal_0.15,0.15,HR_bar_com_entretenimento_mes60,0.9344759250091212,0.7266429867407651,0.9241621430119406,1.1696531959743024,3999.999999999999,99.99999999999997,0.00025
principal_0.15,0.15,HR_filial_mes60,1.9273804287939036,1.688841589675586,1.9218058855968634,2.1789928503230445,3999.999999999999,99.99999999999997,0.00025
principal_0.15,0.15,HR_sociedade_limitada,0.5480221279143607,0.5237873435255959,0.547714561998891,0.5726260632369037,3999.999999999999,99.99999999999997,0.00025
principal_0.15,0.15,HR_outras_naturezas,0.36027636892629067,0.2722785107420327,0.3572732799444785,0.45746815191052825,3999.999999999999,99.99999999999997,0.00025
amplo_0.30,0.3,sigma_rw2,0.06634125947430196,0.0421388155263432,0.06440031166908752,0.09745549572228718,3992.847280675753,99.82118201689383,0.00034130979009975915
amplo_0.30,0.3,sobrevivencia_global_60m,0.5549173257317215,0.5484688577852911,0.5548926932050794,0.5616137619055223,3992.847280675753,99.82118201689383,0.00034130979009975915
amplo_0.30,0.3,HR_lanchonete_mes60,1.1790212219483385,1.0877783191236465,1.177310936876663,1.271941728369932,3992.847280675753,99.82118201689383,0.00034130979009975915
amplo_0.30,0.3,HR_bar_sem_entretenimento_mes60,1.2473840134900396,1.0972182071542167,1.2427820594615455,1.408114247431815,3992.847280675753,99.82118201689383,0.00034130979009975915
amplo_0.30,0.3,HR_bar_com_entretenimento_mes60,0.9344834987988047,0.7264808435269063,0.9242383990478816,1.1696544747609616,3992.847280675753,99.82118201689383,0.00034130979009975915
amplo_0.30,0.3,HR_filial_mes60,1.9272295346554202,1.68885973005329,1.9216925997196392,2.1780042412896847,3992.847280675753,99.82118201689383,0.00034130979009975915
amplo_0.30,0.3,HR_sociedade_limitada,0.5480198895273298,0.5237888709383005,0.5477037378986334,0.5726251725897438,3992.847280675753,99.82118201689383,0.00034130979009975915
amplo_0.30,0.3,HR_outras_naturezas,0.360293130608759,0.27230610206984274,0.3573388556824826,0.4574382820592416,3992.847280675753,99.82118201689383,0.00034130979009975915
