coorte_ano;perfil;horizonte_meses;prob_baixa_mediana;q5;q95;sobrevivencia_mediana;sobrevivencia_q5;sobrevivencia_q95
2000;Restaurante, empresário individual, matriz;12;0.0847397742413893;0.0760185979988444;0.0946382749829988;0.9152602257586107;0.9053617250170012;0.9239814020011556
2005;Restaurante, empresário individual, matriz;12;0.0780845465710737;0.0723236596293878;0.0845497367189672;0.9219154534289263;0.9154502632810328;0.9276763403706122
2010;Restaurante, empresário individual, matriz;12;0.1137354563967479;0.1069791312978557;0.1214977326950316;0.8862645436032521;0.8785022673049684;0.8930208687021443
2015;Restaurante, empresário individual, matriz;12;0.1705469831163834;0.1605739442271858;0.1803937088502306;0.8294530168836166;0.8196062911497695;0.8394260557728142
2020;Restaurante, empresário individual, matriz;12;0.216692194187903;0.205995308777776;0.2281821461053115;0.783307805812097;0.7718178538946885;0.7940046912222241
2025;Restaurante, empresário individual, matriz;12;0.2481263635329648;0.2281700718565679;0.2694646765761395;0.7518736364670352;0.7305353234238605;0.7718299281434321
2000;Restaurante, empresário individual, matriz;60;0.2829725863155514;0.2589407702857683;0.3103784446294785;0.7170274136844486;0.6896215553705215;0.7410592297142318
2005;Restaurante, empresário individual, matriz;60;0.2632292048240644;0.2482418266674685;0.2808040497823657;0.7367707951759356;0.7191959502176344;0.7517581733325315
2010;Restaurante, empresário individual, matriz;60;0.3649612370303733;0.3489408979110738;0.3822030800937803;0.6350387629696267;0.6177969199062197;0.6510591020889263
2015;Restaurante, empresário individual, matriz;60;0.5046205614002603;0.4856703073748867;0.5224642385008742;0.49537943859973965;0.4775357614991258;0.5143296926251133
