cenario,n,eventos_ate_60m,S12,S24,S36,S60,dif_S12_pp_vs_principal,dif_S24_pp_vs_principal,dif_S36_pp_vs_principal,dif_S60_pp_vs_principal
principal_2000_2025,19134,7110,0.866006706464787,0.7739865260505606,0.7015268047074106,0.5794966797533335,0.0,0.0,0.0,0.0
janela_moderna_2013_2025,13440,5674,0.8313167085280272,0.7249915976920419,0.6392279487567626,0.487505422230417,-3.4689997936759753,-4.899492835851871,-6.229885595064799,-9.199125752291653
todas_coortes_ate_2025,32643,9571,0.8924456723946808,0.8219290316687454,0.7701873210764703,0.687826123756648,2.643896592989381,4.7942505618184805,6.866051636905968,10.832944400331446
evento_voluntario_01_54,19134,6784,0.8673128030151765,0.7759686533053135,0.7049156428815915,0.5990175469617084,0.13060965503896016,0.19821272547528856,0.3388838174180897,1.952086720837487
sem_motivos_admin_71_73_67_66,19134,6886,0.8661031727710846,0.7741230489663096,0.7016505465060466,0.5938678167452042,0.009646630629767117,0.013652291574894893,0.012374179863605672,1.4371136991870648
excluir_tempo_zero,19049,7025,0.8698709812324642,0.7774401905323866,0.7046571411240278,0.582082496215039,0.3864274767677256,0.34536644818259354,0.31303364166171965,0.25858164617055257
tempo_zero_recodificado_1dia,19134,7110,0.866006706464787,0.7739865260505606,0.7015268047074106,0.5794966797533335,0.0,0.0,0.0,0.0
