modelo,n_draws,n_observacoes,elpd_loo,se_elpd_loo,p_loo,pareto_k_max,n_pareto_k_maior_goodk,good_k_amostra,n_pareto_k_maior_0_7,delta_elpd_vs_M0,se_delta_vs_M0
M0,200,19134,-39424.2151843108,294.50790450142273,30.29307544318373,0.5077019281919476,0,0.5654120103239064,0,0.0,0.0
M1,200,19134,-39139.33471957787,294.51436860615536,36.47448102824084,0.47886155678410397,0,0.5654120103239064,0,284.8804647329356,23.573590290043036
