horizonte_meses;sobrevivencia_observada;risco_acumulado_observado;sobrevivencia_predita_mediana;intervalo_90_inferior;intervalo_90_superior;erro_mediana_pp;classificacao
12;0.86581045118411;0.13418954881588996;0.863836278590544;0.8602159315283365;0.8681712745742615;-0.19741725935659998;descritiva + adequação preditiva interna
24;0.7734995375877338;0.22650046241226618;0.7679177493179953;0.7624435564676517;0.7733017119549235;-0.5581788269738499;descritiva + adequação preditiva interna
36;0.7008556457762303;0.2991443542237697;0.6892976856264386;0.6835512047209141;0.6951808162530708;-1.1557960149791702;descritiva + adequação preditiva interna
60;0.5785860143159641;0.4214139856840359;0.555476067659612;0.5489203856119849;0.5623430411155612;-2.31099466563521;descritiva + adequação preditiva interna
