fator,papel,tau_media,tau_q025,tau_q975,Pr_tau_gt_0_05,contraste_media,contraste_q025,contraste_q975,max_delta100_media,max_delta100_q025,max_delta100_q975,Pr_max_delta_gt_1,Pr_max_delta_gt_2
periodo_analitico,principal,0.017389381938638378,0.0006888586437500001,0.04675869412500001,0.01425,0.00044457180362210115,4.850612080000001e-07,0.00208309001,0.5443868780903676,0.02213034025,1.4848855250000004,0.1425,0.00125
faixa_temporal,principal,0.020923153869949196,0.00094608656,0.0542049979,0.043,0.0006465189481422588,8.960642665e-07,0.0028859812075000013,0.6802008265704925,0.030660704300000004,1.79580244,0.25525,0.0105
decada_historica,principal,0.01648216447366925,0.0005930852165,0.045083145375,0.01075,0.0004080956454951978,3.306630705e-07,0.0019754244625000005,0.5050029634554074,0.017752550375000002,1.4144604325,0.1135,0.00175
dia_semana,principal,0.016197694704250525,0.0006126666502500001,0.043184399175000006,0.00525,0.00038644524707312516,3.6654104200000007e-07,0.0017945467925000005,0.5294964618045637,0.019644161,1.4305376200000002,0.131,0.002
ano,sensibilidade,0.025881993958724252,0.0011808452525,0.068125767425,0.12925,0.0009978807845322302,1.3848462725000006e-06,0.004573659865000001,0.97663084783285,0.04257394305000001,2.6813630075000003,0.414,0.10625
periodo_5_anos,sensibilidade,0.01944698972571145,0.0009764385082500002,0.04887762165,0.0195,0.0005468080611731629,8.684562759999999e-07,0.0023475565700000005,0.6353370982951425,0.03070481035,1.62718225,0.21775,0.00475
faixa_temporal_tercil_concursos,sensibilidade,0.029820756097768752,0.0013396501175000001,0.06630438422500001,0.1515,0.0011718763034850967,1.8225370675000004e-06,0.004175981717500001,0.888654977105775,0.03955433062500001,2.034859425000001,0.41125,0.0275
faixa_temporal_metade_concursos,sensibilidade,0.03186714339550775,0.0018171320925,0.066630595875,0.16075,0.0012844777563071265,3.1553011375e-06,0.004197841512500001,0.9040190935278025,0.0488701195,1.96544377,0.43075,0.02125
