fator,nivel,dezena,p_media,p_hdi95_inf,p_hdi95_sup,ocorr_esperadas_100_concursos_media,delta_100_media,delta_100_hdi95_inf,delta_100_hdi95_sup,prob_delta_100_maior_0,prob_abs_delta_100_gt_1,prob_abs_delta_100_gt_2,prob_abs_delta_100_gt_3,razao_media,razao_hdi95_inf,razao_hdi95_sup,contagem_observada,n_slots_nivel,abs_delta_100_media
ano,2004,13,0.03710597863744699,0.023206738218803903,0.051293762991671134,22.263587182468193,11.961467402473378,3.6081930589871503,20.738290751345655,1.0,0.9988,0.9972,0.9888,2.167598024784007,1.2834711078625451,2.9888876866129404,24,612,11.961467402473378
ano,2004,49,0.03265202016172616,0.01960909051583614,0.04599905381716896,19.591212097035694,9.416374857905886,1.5670836736849567,17.3873103951016,0.998,0.9892,0.9768,0.9448,1.9324000609729264,1.1446416687991607,2.738718179995955,21,612,9.416374857905886
ano,2003,8,0.03161555847336315,0.01935479554072158,0.044623139606551676,18.96933508401789,9.104358161090637,1.7539075160919724,16.997802798777133,0.9972,0.992,0.974,0.9492,1.929928708027278,1.1291439184925038,2.724908479299107,20,600,9.104358161090637
ano,2011,51,0.03186567500962747,0.019118288264135655,0.044869853336159636,19.119405005776482,9.015780080188803,1.4008794356226582,16.973703680000806,0.9948,0.9884,0.9732,0.946,1.8981556667807669,1.1223292709131114,2.704344640538602,21,630,9.015780080188803
ano,2003,15,0.030111620923089357,0.016497285645205383,0.04313576343279765,18.066972553853613,8.987104020323343,1.3202075171834946,17.758776622425525,0.9944,0.9828,0.966,0.9424,1.9976030814781551,1.1364607385563874,3.003673327204552,19,600,8.987104020323343
ano,2002,12,0.030137189149524544,0.01745876598313221,0.04295236030362614,18.082313489714725,8.794175672763139,0.9721616443381813,16.432584955529,0.996,0.9864,0.9668,0.934,1.953812975402754,1.0974105628630977,2.8036749525439197,19,600,8.794175672763139
ano,2006,50,0.03091178576089952,0.018520289297422915,0.04379908966475661,18.54707145653971,8.689453231765134,1.596411259760465,16.847206903563592,0.9952,0.9852,0.968,0.9328,1.8871998788260698,1.1142432090026115,2.6761267060280987,20,624,8.689453231765134
ano,2013,4,0.0319474649585558,0.01937194458853664,0.045202029740764246,19.16847897513348,8.637954371600497,1.5219145130312521,17.277593141873194,0.9932,0.9884,0.9668,0.9296,1.8260589930032403,1.1066000414774497,2.651519681566966,21,630,8.637954371600497
ano,2012,2,0.030392308092715776,0.01876897279683566,0.04342551711525916,18.235384855629466,8.359036200570054,1.087307260026407,16.16286215182144,0.992,0.9844,0.962,0.9316,1.8525836986779163,1.089322168973727,2.6382907737731296,20,630,8.359036200570054
ano,1996,56,0.031370263061260735,0.014742916422544178,0.05210190630614555,18.822157836756443,8.347305586420966,-1.6056638103091863,20.832393298133336,0.9472,0.9448,0.888,0.828,1.8017343672949289,0.7503182465914487,2.9202493549528836,9,258,8.347305586420966
ano,1996,33,0.03117510004413254,0.013383296159836923,0.050081806391554365,18.705060026479522,8.06779449656205,-2.8989966633605673,19.32038265216988,0.9392,0.9312,0.8724,0.8104,1.763731164891761,0.7030888845937581,2.8297325216383387,9,258,8.06779449656205
ano,2003,17,0.030441360513122153,0.018502928208005327,0.044719366152347936,18.264816307873293,7.681965556207383,0.3965031002725602,16.20957368488922,0.9816,0.9684,0.9344,0.878,1.7312326069315036,1.023055233267103,2.56168460219277,19,600,7.681965556207383
decada_historica,1996-1999,30,0.011109142374612989,0.005466336189469721,0.017105757591829834,6.665485424767794,-3.832163654884293,-7.347523108818809,-0.05501681633856351,0.0288,0.9348,0.848,0.6948,0.6367567209087887,0.29908041586651807,0.9714918787103007,13,1200,3.832163654884293
decada_historica,1996-1999,43,0.023858063935477986,0.015655747623507698,0.032614772400990276,14.31483836128679,3.822872990844639,-0.9993948149826466,9.521722134005989,0.9316,0.8756,0.7604,0.614,1.369185060266722,0.8698273116120719,1.9081483375372523,29,1200,3.822872990844639
decada_historica,1996-1999,51,0.022272248816228978,0.014575532965645333,0.030790047710457354,13.363349289737387,3.259724364149708,-1.9040616209607186,8.149272049212613,0.9108,0.8552,0.6924,0.514,1.3265097218321635,0.8642070352855278,1.8676411695403219,27,1200,3.259724364149708
decada_historica,1996-1999,11,0.011932152681820584,0.006382238877524842,0.017916611843911617,7.15929160909235,-3.2581142647120456,-6.738388151383719,0.5171198221943438,0.0544,0.8988,0.7652,0.58,0.6893165062539887,0.35830195481642,1.031066619805792,14,1200,3.2581142647120456
decada_historica,1996-1999,48,0.010346576841249648,0.004866287145532611,0.015790532231494295,6.207946104749789,-3.075063137807607,-6.321080993289023,0.7691022587852762,0.0568,0.8952,0.7468,0.5612,0.6712300533407622,0.2912918905645551,1.031110852758211,12,1200,3.075063137807607
decada_historica,1996-1999,13,0.02217997668560437,0.014092907163631114,0.03003782292602257,13.30798601136262,3.0058662313678,-2.289836071559146,7.663285180541783,0.8944,0.8272,0.6536,0.4772,1.2960682042898035,0.79720254827218,1.773485609298444,27,1200,3.0058662313678
decada_historica,1996-1999,39,0.0111364038052848,0.005970596078643903,0.017392726937541812,6.68184228317088,-2.8273940207226067,-6.165322488508398,0.9091408740289915,0.076,0.868,0.702,0.4948,0.704690517847983,0.3575418990914541,1.0809540554663262,13,1200,2.8273940207226067
decada_historica,1996-1999,42,0.022313514621851157,0.014844757375617261,0.030871000652435525,13.388108773110694,2.7851145382314697,-2.4175016740570254,7.549323754406878,0.8672,0.8196,0.6304,0.45,1.2665973266288768,0.7881814102090245,1.7395938348453386,27,1200,2.7851145382314697
