fator,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
periodo_analitico,lp__,-74009.416447,-74009.208,14.354011269313194,14.527256100006557,-74033.39014999999,-73986.14835,1.0024918029136978,1071.0373656016995,1618.717222118682
periodo_analitico,alpha[1],-0.0120361110274335,-0.012036442,0.0582135657659954,0.060314131703699994,-0.1082634175,0.08321019224999998,1.0003428396832033,9728.981952095859,2959.175748348155
periodo_analitico,alpha[2],-0.012835748407364326,-0.011685880999999999,0.05789027449277789,0.05815341715049999,-0.10979854049999999,0.08117406334999996,1.0010288694485128,7743.437610639337,2615.8516419315247
periodo_analitico,alpha[3],-0.0688313598210325,-0.0668501745,0.05890810885976364,0.058412417733599994,-0.16804317900000001,0.024783196599999967,1.0006715486115871,8773.905419316616,3042.303623421416
periodo_analitico,alpha[4],0.05389672461000425,0.0550196095,0.05669791845030596,0.05722416794849999,-0.0394486058,0.14592713899999996,0.9999890908469808,8808.805497991942,3114.70872633016
periodo_analitico,alpha[5],0.07752363474642994,0.0777340275,0.0560110672168197,0.05571455720039999,-0.01732687784999999,0.16683768499999996,1.0013638519284116,9667.806920742943,2932.3186289755777
periodo_analitico,alpha[6],0.009694095433511,0.010777764,0.05806476224586329,0.057720875272199997,-0.08557842335,0.10258199399999997,1.000177001345017,9510.94851046523,2923.0612818500504
periodo_analitico,alpha[7],-0.061296935456351,-0.060421654500000005,0.05759943472914463,0.057421835593500004,-0.1558435635,0.030420870149999897,1.0014223564807139,8514.206929557375,3016.4433772976136
periodo_analitico,alpha[8],-0.01107797394613695,-0.00923015615,0.056244531989077175,0.05634662219759999,-0.10617376649999999,0.08044029894999999,1.0006734851075039,9349.163674817593,2930.8194277375774
periodo_analitico,alpha[9],-0.03279031333630525,-0.033049973499999996,0.0583672828419794,0.058896175287599994,-0.130312652,0.06368864319999999,1.000822965431714,7568.912569760946,2943.7057851101868
periodo_analitico,alpha[10],0.159205652414725,0.15953220499999998,0.05277620679942303,0.050695698228000005,0.0718500702,0.24574133,1.0017993086686852,8428.028509043139,2330.4915236893394
periodo_analitico,alpha[11],0.041627482198658,0.040927552,0.05562750225315911,0.055395744604410005,-0.050939522949999996,0.13384607599999995,1.0003206564381948,7952.074649031665,2974.2574936287356
