dezena,contagem_global,p_base_media,p_base_hdi95_inf,p_base_hdi95_sup,ocorr_esperadas_100_concursos_media,desvio_vs_uniforme_100_media
1,296,0.01641717717669747,0.01461701020038842,0.018287055951877462,9.850306306018483,-0.14969369398151744
2,297,0.01646058109176568,0.014506625589614774,0.01828675213894641,9.876348655059408,-0.12365134494059168
3,279,0.01547278155082183,0.013751875516833037,0.017385507131646837,9.283668930493098,-0.7163310695069015
4,317,0.017550874339221638,0.01564030136841621,0.01945029050369897,10.530524603532983,0.5305246035329829
5,325,0.018017580459350695,0.016090535441194286,0.019933306977579855,10.810548275610417,0.810548275610417
6,303,0.016797408959616178,0.015051333101446105,0.018794701254022647,10.078445375769707,0.07844537576970692
7,282,0.01564135669859714,0.013931059850270107,0.017499936814587773,9.384814019158284,-0.6151859808417155
8,297,0.016441628204878746,0.014596178064475638,0.018230690879614958,9.864976922927248,-0.13502307707275243
9,290,0.016087317189084762,0.014176346368943316,0.01793737220477841,9.652390313450857,-0.34760968654914265
10,353,0.0195435623306154,0.017529385269542622,0.021504611385241762,11.72613739836924,1.7261373983692403
11,313,0.017362343123007325,0.015503426948513789,0.01938397754785115,10.417405873804395,0.41740587380439537
12,280,0.01548022969491932,0.013839245434275891,0.01735481380909601,9.288137816951592,-0.711862183048408
13,310,0.0171701996333247,0.01529994555109894,0.01900809523507451,10.30211977999482,0.3021197799948194
14,294,0.0163204897439379,0.014452227896790222,0.01814591865802977,9.79229384636274,-0.20770615363725903
15,272,0.01513311422255045,0.013379601981594992,0.016921993809072007,9.07986853353027,-0.92013146646973
16,308,0.01704149329397615,0.015124403973431897,0.018981462682689382,10.22489597638569,0.2248959763856903
17,318,0.01763808458610984,0.015868193157142902,0.01968591240061793,10.582850751665903,0.5828507516659038
18,287,0.01590285472610686,0.01424745642154904,0.017995716405850317,9.541712835664116,-0.45828716433588407
19,292,0.016209578618183312,0.014450788217564835,0.018019544954544022,9.725747170909987,-0.2742528290900125
20,293,0.01622388935843748,0.014480461421204923,0.018122254029358208,9.734333615062488,-0.26566638493751227
21,251,0.01395430468000436,0.012366978169739029,0.015691134044844027,8.372582808002617,-1.6274171919973834
22,269,0.014893418296771568,0.013151982572217736,0.016641562294666762,8.93605097806294,-1.0639490219370593
23,316,0.017497389403538267,0.015655364090522803,0.019332409378881255,10.49843364212296,0.4984336421229606
24,300,0.016621639183235577,0.01486828050376743,0.018461045223423914,9.972983509941345,-0.02701649005865392
25,295,0.016339394466702413,0.014467491759916561,0.01816412571106018,9.803636680021448,-0.19636331997855208
